# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   53       1.693938331417e-09       6.419003889162e-15       3.241290724749e-12       0.000000000000e+00       6.310490110658e-11       3.215088806543e-12      -5.372595194239e-15 
   54       1.670738271307e-09       6.801980884474e-15       3.311069591938e-12       0.000000000000e+00       6.072351007410e-11       3.072851236361e-12      -5.313872006850e-15 
   55       1.647722951941e-09       7.197747228689e-15       3.379999824860e-12       0.000000000000e+00       5.845457534760e-11       2.938403750805e-12      -5.471695879484e-15 
   56       1.624935195883e-09       7.606465650767e-15       3.448046375870e-12       0.000000000000e+00       5.629593994460e-11       2.812046720275e-12      -5.827394264759e-15 
   57       1.602423902087e-09       8.028414154557e-15       3.515170663237e-12       0.000000000000e+00       5.424682760759e-11       2.693633735737e-12      -6.324342004547e-15 
   58       1.580208532694e-09       8.463894000666e-15       3.581334437911e-12       0.000000000000e+00       5.230309981822e-11       2.582794179133e-12      -6.895753921673e-15 
   59       1.558276989157e-09       8.913231047505e-15       3.646499669493e-12       0.000000000000e+00       5.045704638133e-11       2.478919657808e-12      -7.464214944272e-15 
   60       1.536583488373e-09       9.376777092332e-15       3.710628432193e-12       0.000000000000e+00       4.869717600897e-11       2.381150438947e-12      -7.941210230142e-15 
   61       1.515075321749e-09       9.854804691923e-15       3.773679770694e-12       0.000000000000e+00       4.701149567569e-11       2.288571237426e-12      -8.247788717223e-15 
   62       1.493784955999e-09       1.034716100272e-14       3.835599733639e-12       0.000000000000e+00       4.539868260419e-11       2.200880622865e-12      -8.383036720053e-15 
   63       1.472754930593e-09       1.085353826750e-14       3.896328890511e-12       0.000000000000e+00       4.385905975172e-11       2.117848479646e-12      -8.370210111230e-15 
   64       1.452009615532e-09       1.137357148099e-14       3.955804948628e-12       0.000000000000e+00       4.239123155602e-11       2.039113126506e-12      -8.237153838334e-15 
   65       1.431554003906e-09       1.190683635117e-14       4.013962543272e-12       0.000000000000e+00       4.099198521540e-11       1.964174393596e-12      -8.016502595909e-15 
   66       1.411372504463e-09       1.245284726042e-14       4.070733027836e-12       0.000000000000e+00       3.965619196880e-11       1.892386699541e-12      -7.745881497448e-15 
   67       1.391427734168e-09       1.301105522683e-14       4.126044263954e-12       0.000000000000e+00       3.837670837593e-11       1.822952128495e-12      -7.468106747384e-15 
   68       1.371680041901e-09       1.358095785175e-14       4.179832391916e-12       0.000000000000e+00       3.714633574182e-11       1.755132600805e-12      -7.222052751756e-15 
   69       1.352153372324e-09       1.416245958986e-14       4.232080380510e-12       0.000000000000e+00       3.596438009964e-11       1.688951782326e-12      -7.012655974197e-15 
   70       1.332880639995e-09       1.475558115219e-14       4.282786947275e-12       0.000000000000e+00       3.483125021572e-11       1.624623617210e-12      -6.835165641216e-15 
   71       1.313883513976e-09       1.536035478932e-14       4.331955364168e-12       0.000000000000e+00       3.374647179851e-11       1.562344522462e-12      -6.683902167971e-15 
   72       1.295171740605e-09       1.597682511672e-14       4.379593554101e-12       0.000000000000e+00       3.270864141671e-11       1.502292068415e-12      -6.552219120242e-15 
   73       1.276742466270e-09       1.660504994007e-14       4.425714187482e-12       0.000000000000e+00       3.171538041727e-11       1.444623659204e-12      -6.432465176413e-15 
   74       1.258579560174e-09       1.724510108062e-14       4.470334778749e-12       0.000000000000e+00       3.076328884350e-11       1.389475213243e-12      -6.315946089447e-15 
   75       1.240652937117e-09       1.789706520048e-14       4.513477782913e-12       0.000000000000e+00       2.984789935307e-11       1.336959843693e-12      -6.192886648865e-15 
   76       1.222932222306e-09       1.856096683199e-14       4.555161500059e-12       0.000000000000e+00       2.896481458394e-11       1.287149835274e-12      -6.054909048488e-15 
   77       1.205432119658e-09       1.923651943689e-14       4.595370660624e-12       0.000000000000e+00       2.811346056257e-11       1.240021697159e-12      -5.903073835362e-15 
   78       1.188174124678e-09       1.992333024010e-14       4.634080626673e-12       0.000000000000e+00       2.729393720619e-11       1.195498646343e-12      -5.741242971709e-15 
   79       1.171172539421e-09       2.062097324111e-14       4.671266017613e-12       0.000000000000e+00       2.650587413395e-11       1.153464787252e-12      -5.573706854439e-15 
   80       1.154434089353e-09       2.132898844395e-14       4.706900618243e-12       0.000000000000e+00       2.574840885253e-11       1.113763449696e-12      -5.405197878065e-15 
   81       1.137957540223e-09       2.204688108734e-14       4.740957286802e-12       0.000000000000e+00       2.502016494179e-11       1.076195526820e-12      -5.240903997618e-15 
   82       1.121733314929e-09       2.277412087470e-14       4.773407863013e-12       0.000000000000e+00       2.431923024034e-11       1.040517813056e-12      -5.086482291568e-15 
   83       1.105743110382e-09       2.351014120422e-14       4.804223076136e-12       0.000000000000e+00       2.364313503121e-11       1.006441342075e-12      -4.948072524731e-15 
   84       1.089968687088e-09       2.425438991881e-14       4.833377374822e-12       0.000000000000e+00       2.298946933283e-11       9.736883492734e-13      -4.830897407154e-15 
   85       1.074420751318e-09       2.500649290901e-14       4.860864538060e-12       0.000000000000e+00       2.235790013532e-11       9.421776499064e-13      -4.734767044136e-15 
