# Matter power spectrum P(k) at redshift z=0
# for k=1.04291e-05 to 1.05913 h/Mpc,
# number of wavenumbers equal to 598
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.025205178584e-02       1.642400792002e+04 
       4.044879519860e-02       1.634392693865e+04 
       4.064752256047e-02       1.626437460183e+04 
       4.084831274901e-02       1.618441017301e+04 
       4.105124895774e-02       1.610409769721e+04 
       4.125641900961e-02       1.602406745919e+04 
       4.146391569912e-02       1.594387335330e+04 
       4.167383716627e-02       1.586372538168e+04 
       4.188628730585e-02       1.578342271713e+04 
       4.210137621620e-02       1.570326095440e+04 
       4.231922069207e-02       1.562250580739e+04 
       4.253994476659e-02       1.554191511156e+04 
       4.276368030858e-02       1.546122818899e+04 
       4.299056768178e-02       1.538064303311e+04 
       4.322075647385e-02       1.529929646779e+04 
       4.345440630408e-02       1.521829235456e+04 
       4.369168772008e-02       1.513665004527e+04 
       4.393278319516e-02       1.505522591750e+04 
       4.417788824027e-02       1.497355864266e+04 
       4.442721264621e-02       1.489134746070e+04 
       4.468098187466e-02       1.480912355083e+04 
       4.493943861944e-02       1.472654513860e+04 
       4.520284456325e-02       1.464418998219e+04 
       4.547148235939e-02       1.456103083678e+04 
       4.574565787318e-02       1.447748968307e+04 
       4.602570272418e-02       1.439372500492e+04 
       4.631197717784e-02       1.430942060239e+04 
       4.660487344449e-02       1.422494777737e+04 
       4.690481945470e-02       1.413989457375e+04 
       4.721228319397e-02       1.405426910253e+04 
       4.752777769620e-02       1.396837747301e+04 
       4.785186681645e-02       1.388145176256e+04 
       4.818517192895e-02       1.379444636855e+04 
       4.852837972812e-02       1.370622961605e+04 
       4.888225135023e-02       1.361742157500e+04 
       4.924763308298e-02       1.352801476298e+04 
       4.962546899276e-02       1.343767911384e+04 
       5.001681587840e-02       1.334634486290e+04 
       5.042286106014e-02       1.325389978850e+04 
       5.084494363960e-02       1.316056506576e+04 
       5.128458002833e-02       1.306664664919e+04 
       5.174349474842e-02       1.296995344842e+04 
       5.222365777183e-02       1.287242873764e+04 
       5.272732999858e-02       1.277341842910e+04 
       5.325711889561e-02       1.267214953858e+04 
       5.381604684402e-02       1.256926429638e+04 
       5.440763538458e-02       1.246376947969e+04 
       5.503600930515e-02       1.235523305885e+04 
       5.570602533689e-02       1.224356032103e+04 
       5.642343098592e-02       1.212884400228e+04 
       5.719505941332e-02       1.200982024031e+04 
       5.802906561144e-02       1.188559671554e+04 
       5.893520604119e-02       1.175504800088e+04 
       5.992515575469e-02       1.161772397532e+04 
       6.101283904514e-02       1.147157011468e+04 
       6.221471389482e-02       1.131352982472e+04 
       6.354988576533e-02       1.114221154927e+04 
       6.503982273669e-02       1.095249132199e+04 
       6.670731093056e-02       1.073907628225e+04 
