# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   80       1.154323855483e-09       2.153584979614e-14       4.703073959954e-12       2.214976106578e-16       2.574840885253e-11       1.113763449696e-12      -5.405197878065e-15 
   81       1.137853276934e-09       2.225843657309e-14       4.736998409998e-12       2.270806754643e-16       2.502016494179e-11       1.076195526820e-12      -5.240903997618e-15 
   82       1.121635133358e-09       2.299045620771e-14       4.769315440627e-12       2.327342956702e-16       2.431923024034e-11       1.040517813056e-12      -5.086482291568e-15 
   83       1.105651219652e-09       2.373135060876e-14       4.799995950167e-12       2.384613231241e-16       2.364313503121e-11       1.006441342075e-12      -4.948072524731e-15 
   84       1.089883395956e-09       2.448057385566e-14       4.829014558708e-12       2.442645428790e-16       2.298946933283e-11       9.736883492734e-13      -4.830897407154e-15 
   85       1.074342442896e-09       2.523774657946e-14       4.856365192713e-12       2.501456028150e-16       2.235790013532e-11       9.421776499064e-13      -4.734767044136e-15 
   86       1.059043310295e-09       2.600252591184e-14       4.882047927853e-12       2.561059205517e-16       2.174845013852e-11       9.118670883263e-13      -4.657850621063e-15 
   87       1.043996152907e-09       2.677455919880e-14       4.906064296237e-12       2.621470080537e-16       2.116087747001e-11       8.826969790681e-13      -4.598013404816e-15 
   88       1.029206101619e-09       2.755348406403e-14       4.928417277271e-12       2.682704740247e-16       2.059466461198e-11       8.545894300875e-13      -4.552806553677e-15 
   89       1.014673034656e-09       2.833892847231e-14       4.949111288515e-12       2.744780263021e-16       2.004900732812e-11       8.274476659996e-13      -4.519456927234e-15 
   90       1.000391348787e-09       2.913051079289e-14       4.968152176542e-12       2.807714742511e-16       1.952280359052e-11       8.011553513173e-13      -4.494856896291e-15 
   91       9.863497305299e-10       2.992783986288e-14       4.985547207800e-12       2.871527311595e-16       1.901464250650e-11       7.755759136895e-13      -4.475554152774e-15 
   92       9.725309273551e-10       3.073051505068e-14       5.001305059469e-12       2.936238166317e-16       1.852279324557e-11       7.505518671398e-13      -4.457741519636e-15 
   93       9.589188314627e-10       3.153812020676e-14       5.015434585158e-12       3.001862512890e-16       1.804562603916e-11       7.259458124485e-13      -4.438006939650e-15 
   94       9.455214467728e-10       3.235020433777e-14       5.027940919503e-12       3.068391315295e-16       1.758297166131e-11       7.017719620838e-13      -4.415734605442e-15 
   95       9.323509692251e-10       3.316629812954e-14       5.038828768073e-12       3.135807682915e-16       1.713494689230e-11       6.780832374091e-13      -4.391047799483e-15 
   96       9.194166552929e-10       3.398591978035e-14       5.048103554720e-12       3.204092630808e-16       1.670153559087e-11       6.549312508335e-13      -4.364081134080e-15 
   97       9.067246935660e-10       3.480857498050e-14       5.055771395621e-12       3.273225020224e-16       1.628258355205e-11       6.323662011452e-13      -4.334980796142e-15 
   98       8.942780763347e-10       3.563375689173e-14       5.061839073315e-12       3.343181499144e-16       1.587779336511e-11       6.104367688455e-13      -4.303904791932e-15 
   99       8.820764711731e-10       3.646094612674e-14       5.066314010753e-12       3.413936442798e-16       1.548671927137e-11       5.891900114826e-13      -4.271023191825e-15 
  100       8.701160925226e-10       3.728961072865e-14       5.069204245329e-12       3.485461894195e-16       1.510876202213e-11       5.686712589849e-13      -4.236518375069e-15 
  101       8.583895732755e-10       3.811920615052e-14       5.070518402930e-12       3.557727504649e-16       1.474316373652e-11       5.489240089955e-13      -4.200585274540e-15 
  102       8.468858363582e-10       3.894917523482e-14       5.070265671973e-12       3.630700474309e-16       1.438900275938e-11       5.299898222050e-13      -4.163431621501e-15 
  103       8.355899663152e-10       3.977894819289e-14       5.068455777447e-12       3.704345492680e-16       1.404518851914e-11       5.119082176861e-13      -4.125278190360e-15 
  104       8.244884759355e-10       4.060795816582e-14       5.065099649562e-12       3.778633475897e-16       1.371071434716e-11       4.947074745891e-13      -4.086336733485e-15 
  105       8.135861929741e-10       4.143569034514e-14       5.060211588459e-12       3.853569250818e-16       1.338546590625e-11       4.783758475427e-13      -4.046739863848e-15 
  106       8.028914257948e-10       4.226163948022e-14       5.053807344891e-12       3.929167517183e-16       1.306951289107e-11       4.628862496439e-13      -4.006602112754e-15 
  107       7.924107037340e-10       4.308529503838e-14       5.045903433619e-12       4.005444421567e-16       1.276285853914e-11       4.482047967411e-13      -3.966041393558e-15 
  108       7.821487079705e-10       4.390614135563e-14       5.036517115091e-12       4.082417594573e-16       1.246543732346e-11       4.342906028372e-13      -3.925179001259e-15 
  109       7.721082023949e-10       4.472365778729e-14       5.025666377114e-12       4.160106188032e-16       1.217711264516e-11       4.210955754936e-13      -3.884139612094e-15 
  110       7.622899644793e-10       4.553731885881e-14       5.013369916532e-12       4.238530912190e-16       1.189767452607e-11       4.085642112335e-13      -3.843051283131e-15 
  111       7.526927161472e-10       4.634659441640e-14       4.999647120895e-12       4.317714072907e-16       1.162683730137e-11       3.966333909462e-13      -3.802045451863e-15 
  112       7.433130546433e-10       4.715094977775e-14       4.984518050139e-12       4.397679608851e-16       1.136423731223e-11       3.852321752899e-13      -3.761256935800e-15 
  113       7.341453834026e-10       4.794984588277e-14       4.968003418256e-12       4.478453128690e-16       1.110943059837e-11       3.742816000960e-13      -3.720823932067e-15 
  114       7.251818429207e-10       4.874273944430e-14       4.950124574972e-12       4.560061948289e-16       1.086189059072e-11       3.636944717725e-13      -3.680888016991e-15 
  115       7.164122416231e-10       4.952908309878e-14       4.930903487419e-12       4.642535127902e-16       1.062100580405e-11       3.533751627076e-13      -3.641594145701e-15 
  116       7.078274378022e-10       5.030833013027e-14       4.910362674029e-12       4.725899177717e-16       1.038621691330e-11       3.432395224290e-13      -3.603063973447e-15 
  117       6.994300996956e-10       5.107994897183e-14       4.888525036272e-12       4.810164502622e-16       1.015745182284e-11       3.332777948607e-13      -3.565312140616e-15 
